System,Title,FW,LTD,Publisher,Release Date
PSP,-8,1.914,1.914,Idea Factory,23/01/2014
PSV,&: Sora no Mukou de Saki Masuyou ni,1.138,1.138,5pb.,26/12/2013
PS4,(Warner the Best) Mad Max,,28.432,Warner Entertainment Japan,3/11/2016
PS2,.hack//Fragment,8.916,8.916,Bandai,23/11/2005
PS4,.hack//G.U. Last Recode,44.33,68.65,Bandai Namco,1/11/2017
PS2,.hack//G.U. Vol.1//Rebirth,76.395,162.047,Bandai Namco,18/05/2006
PS2,.hack//G.U. Vol.1//Rebirth [All Versions],76.395,164.639,Bandai Namco,18/05/2006
PS2,.hack//G.U. Vol.1//Rebirth [Welcome Price!],2.592,2.592,Bandai Namco,18/01/2007
PS2,.hack//G.U. Vol.2//Reminisce,101.156,177.074,Bandai Namco,28/09/2006
PS2,.hack//G.U. Vol.3//Redemption,123.676,168.562,Bandai Namco,18/01/2007
PS2,.hack//Infection Part 1,99.346,254.844,Bandai,20/06/2002
PSP,.hack//Link,68.768,104.868,Bandai Namco,4/3/2010
PS2,.hack//Mutation Part 2,121.484,191.463,Bandai,19/09/2002
PS2,.hack//Outbreak Part 3,97.809,163.01,Bandai,12/12/2002
PS2,.hack//Quarantine Part 4,86.049,119.881,Bandai,10/4/2003
PS3,.hack: Sekai no Mukou ni + Versus - Hybrid Pack,16.664,23.53,Bandai Namco,28/06/2012
PS3,007: Blood Stone,,10.418,Square Enix,13/01/2011
PS2,007: Everything or Nothing,37.246,71.373,Electronic Arts,11/2/2004
NGC,007: Everything or Nothing,6.959,19.432,Electronic Arts,11/2/2004
PS2,007: From Russia with Love,,23.747,Electronic Arts,2/3/2006
PS2,007: Nightfire,33.84,111.256,Electronic Arts,30/01/2003
PS3,007: Quantum of Solace,5.6,13.415,Square Enix,26/03/2009
WII,007: Quantum of Solace,1.1,6.437,Square Enix,26/03/2009
PS2,007: Quantum of Solace,1.1,5.547,Square Enix,26/03/2009
360,007: Quantum of Solace,2.3,4.99,Square Enix,26/03/2009
PS1,007: Tomorrow Never Dies,9.953,9.953,Electronic Arts,10/2/2000
PSP,0-ji no Kane to Cinderella: Halloween Wedding,2.696,4.756,QuinRose,23/05/2013
SWI,1 2 Switch,82.392,468.683,Nintendo,3/3/2017
PS1,1 on 1,22.445,30.393,Jorudan,26/11/1998
PSP,1/2 Summer+,4.985,8.788,Kaga Create,18/07/2013
NDS,100 Kiri Golf DS,1.7,12.614,GungHo Works,23/10/2008
3DS,100% Pascal Sensei: Kanpeki Paint Bom,5.763,7.616,Konami,13/07/2017
NGC,1080 Avalanche,7.908,19.417,Nintendo,22/01/2004
N64,1080: Snowboarding,14.776,23.908,Nintendo,28/02/1998
PSP,11Eyes: CrossOver,10.15,14.502,5pb.,28/01/2010
360,11Eyes: CrossOver,10.022,13.582,5pb.,2/4/2009
PS2,120-en no Haru: 120 Stories,6.518,6.518,Interchannel,24/02/2005
PSP,12-Ji no Kane to Cinderella: Halloween Wedding,4.486,6.69,QuinRose,23/02/2012
PS2,12Riven: The ?Climinal of Integral,10.541,13.144,CyberFront,13/03/2008
PSP,12Riven: The ?Climinal of Integral,2.2,4.745,CyberFront,16/04/2009
3DS,12-Sai. Honto no Kimochi,16.256,30.094,Happinet,18/12/2014
3DS,12-Sai. Koisuru Diary,14.578,28.557,Happinet,4/8/2016
3DS,12-Sai. Torokeru Puzzle Futari no Harmony,5.444,5.444,Happinet,26/10/2017
PS4,13 Sentinels: Aegis Rim - Prologue,5.345,5.345,Atlus,14/03/2019
NDS,13-Sai no Hello Work DS,1.2,1.2,Digital Works Entertainment,29/05/2008
NDS,1500DS Spirits Vol.1: Mahjong,2.368,28.571,Tasuke,9/8/2007
NDS,1500DS Spirits Vol.2: Shogi,1.754,1.754,Tasuke,9/8/2007
NDS,1500DS Spirits Vol.3: Block Kuzushi,1.087,1.087,Tasuke,9/8/2007
NDS,1500DS Spirits Vol.5: Hanafuda,1.667,1.667,Tasuke,9/8/2007
NDS,1500DS Spirits: Mahjong V,,26.949,Tasuke,3/12/2009
NDS,1500DS Spirits: Shogi V,,13.821,Tasuke,3/12/2009
DC,18 Wheeler,5.574,5.574,SEGA,12/10/2000
SAT,2 Degrees Sandor: LE,19.456,33.289,CSK Research Institute,5/4/1996
PS2,2000 Koushien,9.46,17.965,Magical,10/8/2000
PS2,2001 Professional Baseball,8.189,8.189,Magical,16/08/2001
PS2,2002 FIFA World Cup,24.21,143.122,Electronic Arts,2/5/2002
XBX,2002 FIFA World Cup,,10.485,Electronic Arts Square,2/5/2002
PS2,2006 FIFA World Cup: Germany,,45.035,Electronic Arts,27/04/2006
360,2006 FIFA World Cup: Germany,1.536,10.14,Electronic Arts,27/04/2006
PSP,2006 FIFA World Cup: Germany,,7.24,Electronic Arts,1/6/2006
PS3,2010 FIFA World Cup: South Africa,12.555,41.989,Electronic Arts,13/05/2010
PSP,2010 FIFA World Cup: South Africa,2.559,13.172,Electronic Arts,13/05/2010
WII,2010 FIFA World Cup: South Africa,1.3,7.898,Electronic Arts,13/05/2010
360,2010 FIFA World Cup: South Africa,2.42,6.192,Electronic Arts,13/05/2010
PSP,24-ji no Kane to Cinderella: Halloween Wedding,2.637,4.105,QuinRose,20/09/2012
PS1,2Extreme,26.429,87.308,SCE,11/4/1997
GB,2nd Super Robot Wars G,39.391,57.163,Banpresto,30/06/1995
PS3,2nd Super Robot Wars OG,206.417,276.246,Bandai Namco,29/11/2012
PSP,2nd Super Robot Wars Z: Hakai-hen,280.896,412.582,Bandai Namco,14/04/2011
PSP,2nd Super Robot Wars Z: Saisei-hen,246.114,320.636,Bandai Namco,5/4/2012
PS2,2nd Super Robot Wars ?,330.559,511.517,Banpresto,27/03/2003
PS3,3D Dot Game Heroes,11.854,22.536,From Software,5/11/2009
PS1,3D Fight Maker,37.692,55.565,ASCII,30/07/1998
PS2,3D Fight Maker 2,7.612,7.612,Enterbrain,29/08/2002
PS2,3LDK: Shiawase ni Narouyo,6.194,6.194,Princess Soft,1/7/2004
PS2,3-Nen B-Gumi Kinpachi Sensei: Densetsu no Kyoudan ni Tate!,24.03,61.68,Chunsoft,24/06/2004
PS3,3rd Super Robot Wars Z: Jigoku-hen,158.41,215.226,Bandai Namco,10/4/2014
PSV,3rd Super Robot Wars Z: Jigoku-hen,125.048,181.692,Bandai Namco,10/4/2014
PS3,3rd Super Robot Wars Z: Tengoku-hen,105.072,148.32,Bandai Namco,2/4/2015
PSV,3rd Super Robot Wars Z: Tengoku-hen,98.624,141.497,Bandai Namco,2/4/2015
PS2,3rd Super Robot Wars ?: Shuuen no Ginga e,463.507,603.257,Banpresto,28/07/2005
PS1,3x3 Eyes: Kyuusei Koushu,,106.923,Xing Entertainment,11/8/1995
SAT,3x3 Eyes: Kyuusei Koushu,15.741,15.741,Nippon Create,19/04/1996
PS1,3x3 Eyes: Tenrinou Genmu,,21.09,King Records,6/8/1998
FC,4 Nin uchi Mahjong,,1.450.000,Nintendo,2/12/1984
PS4,428: Shibuya Scramble,2.007,2.007,Spike Chunsoft,6/9/2018
WII,428: The World Doesn't Change Even So,34.006,64.557,SEGA,4/12/2008
PS3,428: The World Doesn't Change Even So,17.111,34.547,Spike,3/9/2009
PSP,428: The World Doesn't Change Even So,15.932,33.216,Spike,17/09/2009
WII,428: The World Doesn't Change Even So [All Versions],34.006,85.579,SEGA,4/12/2008
PSP,428: The World Doesn't Change Even So [All Versions],15.932,38.328,Spike,17/09/2009
PSP,428: The World Doesn't Change Even So [Spike the Best],,5.112,Spike,2/12/2010
WII,428: The World Doesn't Change Even So [Wii Select],3.4,21.022,SEGA,25/02/2010
SFC,4th Super Robot Wars,192.158,361.865,Banpresto,17/03/1995
PS1,4th Super Robot Wars S,148.504,347.865,Banpresto,26/01/1996
PS1,4th Super Robot Wars S [All Versions],148.504,374.129,Banpresto,26/01/1996
PS1,4th Super Robot Wars S [PlayStation the Best],14.761,26.264,Banpresto,29/11/1996
PS3,50 Cent: Blood on the Sand,3,6.792,Bethesda Softworks,23/07/2009
360,50 Cent: Blood on the Sand,1.259,4.192,Bethesda Softworks,23/07/2009
NDS,5-Kyuu kara 1-Kyuu Zenkyuu Taiou: Saishin Kakomondai - 2-Ji Shiken Taisaku - Eiken Kanzenhan,,8.189,IE Institute,26/11/2009
N64,64 de Hakken!! Tamagotchi Minna de Tamagotchi World,34.331,73.384,Bandai,19/12/1997
N64,64 Oozumou,7.631,7.631,Bottom Up,28/11/1997
PS2,7: Molmorth no Kiheitai,27.945,87.404,Namco,21/12/2000
NDS,700-Banjin no Atama o Yokusuru: Chou Keisan DS - 13000-Mon + Image Keisan,,7.096,IE Institute,12/3/2009
PSP,77: Beyond the Milky Way,5.746,10.91,GN Software,22/12/2010
PSV,7'scarlet,3.49,3.49,Idea Factory,21/07/2016
NDS,7th Dragon,81.536,137.857,SEGA,5/3/2009
NDS,7th Dragon [All Versions],81.536,141.755,SEGA,5/3/2009
NDS,7th Dragon [Reprint],500,3.898,SEGA,11/3/2010
PSP,7th Dragon 2020,113.568,168.627,SEGA,23/11/2011
PSP,7th Dragon 2020 [All Versions],113.568,177.014,SEGA,23/11/2011
PSP,7th Dragon 2020 [PSP the Best],674,8.387,SEGA,13/12/2012
PSP,7th Dragon 2020-II,76.949,115.337,SEGA,18/04/2013
3DS,7th Dragon III Code: VFD,72.411,102.37,SEGA,15/10/2015
SFC,90 Minutes: European Prime Goal,62.112,125.509,Namco,4/8/1995
PS1,98 Koushien,23.08,238.295,Magical,18/06/1998
PS1,99 Koushien,14.039,61.24,Magical,17/06/1999
NDS,99 Tears,7.838,32.378,Bandai Namco,5/6/2008
NDS,"999: 9 Hours, 9 Persons, 9 Doors",16.967,39.653,Spike,10/12/2009
NDS,"999: 9 Hours, 9 Persons, 9 Doors [All Versions]",16.967,44.367,Spike,10/12/2009
NDS,"999: 9 Hours, 9 Persons, 9 Doors [Chun Selection]",,4.714,Chunsoft,15/12/2011
NDS,A Penguin's Troubles X: 7 Warriors of the Sky,56.151,179.854,Konami,23/07/2009
NDS,A Penguin's Troubles X: 7 Warriors of the Sky [All Versions],56.151,184.741,Konami,23/07/2009
NDS,A Penguin's Troubles X: 7 Warriors of the Sky [Best Selection],,4.887,Konami,25/11/2010
NDS,A Penguin's Troubles: Strongest Penguin Legend!,58.065,287.502,Konami,11/12/2008
3DS,A Penguin's Troubles: The Wars,,48.166,Konami,15/12/2011
NDS,A Penguin's Troubles: The World,16.986,109.721,Konami,2/12/2010
PS2,A Visual Mix: Ayumi Hamasaki Dome Tour 2001,22.913,30.218,Avex Distribution,13/12/2001
NDS,A Witch's Tale: Apprentice Witch and 7 Princesses,4.355,8.543,Nippon Ichi Software,28/05/2009
PS2,Aa! Megami-sama!,6.533,6.533,Marvelous Interactive,22/02/2007
PS2,Abarenbou Princess,12.358,12.358,Kadokawa Shoten,29/11/2001
NDS,Ace Attorney Investigations: Miles Edgeworth,201.817,310.028,Capcom,28/05/2009
NDS,Ace Attorney Investigations: Miles Edgeworth [All Versions],201.817,357.122,Capcom,28/05/2009
NDS,Ace Attorney Investigations: Miles Edgeworth 2,134.76,219.682,Capcom,3/2/2011
NDS,Ace Attorney Investigations: Miles Edgeworth 2 [All Versions],134.76,274.995,Capcom,3/2/2011
PS1,Ace Combat,246.134,592.296,Namco,30/06/1995
PS2,Ace Combat 04: Shattered Skies,217.501,360.103,Namco,13/09/2001
